customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,last_update,active
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,t,2022-02-14,2022-02-15 09:57:20+00,1
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,t,2022-02-14,2022-02-15 09:57:20+00,1
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,t,2022-02-14,2022-02-15 09:57:20+00,1
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,t,2022-02-14,2022-02-15 09:57:20+00,1
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,t,2022-02-14,2022-02-15 09:57:20+00,1
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,t,2022-02-14,2022-02-15 09:57:20+00,1
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,t,2022-02-14,2022-02-15 09:57:20+00,1
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,t,2022-02-14,2022-02-15 09:57:20+00,1
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,t,2022-02-14,2022-02-15 09:57:20+00,1
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,t,2022-02-14,2022-02-15 09:57:20+00,1
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,t,2022-02-14,2022-02-15 09:57:20+00,1
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,t,2022-02-14,2022-02-15 09:57:20+00,1
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,t,2022-02-14,2022-02-15 09:57:20+00,1
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,t,2022-02-14,2022-02-15 09:57:20+00,1
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,t,2022-02-14,2022-02-15 09:57:20+00,1
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,t,2022-02-14,2022-02-15 09:57:20+00,0
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,t,2022-02-14,2022-02-15 09:57:20+00,1
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,t,2022-02-14,2022-02-15 09:57:20+00,1
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,t,2022-02-14,2022-02-15 09:57:20+00,1
20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,t,2022-02-14,2022-02-15 09:57:20+00,1
21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,t,2022-02-14,2022-02-15 09:57:20+00,1
22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26,t,2022-02-14,2022-02-15 09:57:20+00,1
23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27,t,2022-02-14,2022-02-15 09:57:20+00,1
24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,28,t,2022-02-14,2022-02-15 09:57:20+00,1
25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,t,2022-02-14,2022-02-15 09:57:20+00,1
26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,30,t,2022-02-14,2022-02-15 09:57:20+00,1
27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,t,2022-02-14,2022-02-15 09:57:20+00,1
28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,t,2022-02-14,2022-02-15 09:57:20+00,1
29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33,t,2022-02-14,2022-02-15 09:57:20+00,1
30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,t,2022-02-14,2022-02-15 09:57:20+00,1
31,2,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,35,t,2022-02-14,2022-02-15 09:57:20+00,1
32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36,t,2022-02-14,2022-02-15 09:57:20+00,1
33,2,ANNA,HILL,ANNA.HILL@sakilacustomer.org,37,t,2022-02-14,2022-02-15 09:57:20+00,1
34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38,t,2022-02-14,2022-02-15 09:57:20+00,1
35,2,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,39,t,2022-02-14,2022-02-15 09:57:20+00,1
36,2,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,40,t,2022-02-14,2022-02-15 09:57:20+00,1
37,1,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41,t,2022-02-14,2022-02-15 09:57:20+00,1
38,1,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,t,2022-02-14,2022-02-15 09:57:20+00,1
39,1,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43,t,2022-02-14,2022-02-15 09:57:20+00,1
40,2,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44,t,2022-02-14,2022-02-15 09:57:20+00,1
